,composer,file_path,maxNotes,avgDist,avgTime,maxVel,avgVel
0,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,6,12.355604813172894,0.08315999709731954,108,62.95408486383787
1,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,6,13.592684747449614,0.06181737009620983,121,65.00821099776064
2,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,6,11.839422259983008,0.13170678012602666,111,60.3428207306712
3,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,10,6.452149791955617,0.11751979311141907,110,58.77669902912621
4,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,8,12.30082058933234,0.08808805016784724,112,70.21428571428571
5,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,6,11.578544061302683,0.09722554810557683,91,47.015325670498086
6,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,7,13.175742574257425,0.041175853076379,112,64.96711456859971
7,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi,6,13.235294117647058,0.03989789956680346,111,71.27314181486548
8,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,6,12.484050445103858,0.06762816054648887,109,62.15912462908012
9,Alexander Scriabin,/content/drive/MyDrive/Colab Notebooks/Machine Learning/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi,10,13.433518005540167,0.060157732828049065,123,73.16528162511543
